epoch,train_loss,train_acc,val_loss,val_acc
1,0.8528639318590815,72.50310724431817,0.6309581002857112,78.40189873417721
2,0.6195554140616547,78.85520241477273,0.609123451800286,78.56012658227847
3,0.5974727953699502,79.37677556818183,0.5895231554779825,79.58860759493672
4,0.5822608650831337,79.81622869318183,0.5756158745741542,80.04351265822784
5,0.5741481665860523,80.14026988636364,0.5650159218643285,80.3006329113924
6,0.5705634626051919,80.3067294034091,0.576652056054224,80.67642405063292
7,0.5674612689763308,80.38441051136364,0.5565170385415041,80.83465189873418
8,0.5596781903031197,80.53977272727273,0.5669120289856875,80.45886075949366
9,0.5531400830103931,80.7373046875,0.5592733806447138,80.47863924050634
10,0.5568398684263229,80.56640625,0.5561458113827283,80.7753164556962
